,flux,norm_error,spec_error,wave
0,-3.3399999141693115,0.5199999809265137,0.5199999809265137,2.359999895095825
1,-3.2300000190734863,0.5199999809265137,0.5199999809265137,2.3601300716400146
2,-3.130000114440918,0.5199999809265137,0.5199999809265137,2.3602499961853027
3,-3.059999942779541,0.5099999904632568,0.5099999904632568,2.360379934310913
4,-3.009999990463257,0.5099999904632568,0.5099999904632568,2.3605000972747803
5,-2.990000009536743,0.5099999904632568,0.5099999904632568,2.3606300354003906
6,-2.990000009536743,0.5099999904632568,0.5099999904632568,2.3607499599456787
7,-3.0199999809265137,0.5099999904632568,0.5099999904632568,2.360879898071289
8,-3.0799999237060547,0.5099999904632568,0.5099999904632568,2.3610000610351562
9,-3.140000104904175,0.5099999904632568,0.5099999904632568,2.3611299991607666
10,-3.2100000381469727,0.5099999904632568,0.5099999904632568,2.3612499237060547
11,-3.2799999713897705,0.5099999904632568,0.5099999904632568,2.361380100250244
12,-3.3399999141693115,0.5099999904632568,0.5099999904632568,2.3615000247955322
13,-3.390000104904175,0.5099999904632568,0.5099999904632568,2.3616299629211426
14,-3.4200000762939453,0.5099999904632568,0.5099999904632568,2.3617498874664307
15,-3.430000066757202,0.5,0.5,2.36188006401062
16,-3.4200000762939453,0.5,0.5,2.361999988555908
17,-3.380000114440918,0.5,0.5,2.3621299266815186
18,-3.319999933242798,0.5,0.5,2.3622500896453857
19,-3.240000009536743,0.5,0.5,2.362380027770996
20,-3.1600000858306885,0.5,0.5,2.362499952316284
21,-3.0899999141693115,0.5,0.5,2.3626298904418945
22,-3.0399999618530273,0.5,0.5,2.3627500534057617
23,-3.0199999809265137,0.5,0.5,2.362879991531372
24,-3.049999952316284,0.5,0.5,2.36299991607666
25,-3.119999885559082,0.5,0.5,2.3631300926208496
26,-3.240000009536743,0.49000000953674316,0.49000000953674316,2.3632500171661377
27,-3.380000114440918,0.49000000953674316,0.49000000953674316,2.363379955291748
28,-3.5399999618530273,0.49000000953674316,0.49000000953674316,2.3635001182556152
29,-3.690000057220459,0.49000000953674316,0.49000000953674316,2.3636300563812256
30,-3.7899999618530273,0.49000000953674316,0.49000000953674316,2.3637499809265137
31,-3.8499999046325684,0.49000000953674316,0.49000000953674316,2.363879919052124
32,-3.8299999237060547,0.49000000953674316,0.49000000953674316,2.364000082015991
33,-3.740000009536743,0.49000000953674316,0.49000000953674316,2.3641300201416016
34,-3.5999999046325684,0.49000000953674316,0.49000000953674316,2.3642499446868896
35,-3.4000000953674316,0.49000000953674316,0.49000000953674316,2.3643798828125
36,-3.180000066757202,0.49000000953674316,0.49000000953674316,2.364500045776367
37,-2.940000057220459,0.47999998927116394,0.47999998927116394,2.3646299839019775
38,-2.7300000190734863,0.47999998927116394,0.47999998927116394,2.3647499084472656
39,-2.5299999713897705,0.47999998927116394,0.47999998927116394,2.364880084991455
40,-2.380000114440918,0.47999998927116394,0.47999998927116394,2.365000009536743
41,-2.2799999713897705,0.47999998927116394,0.47999998927116394,2.3651299476623535
42,-2.2100000381469727,0.47999998927116394,0.47999998927116394,2.3652501106262207
43,-2.180000066757202,0.47999998927116394,0.47999998927116394,2.365380048751831
44,-2.1700000762939453,0.47999998927116394,0.47999998927116394,2.365499973297119
45,-2.1700000762939453,0.47999998927116394,0.47999998927116394,2.3656299114227295
46,-2.180000066757202,0.47999998927116394,0.47999998927116394,2.3657500743865967
47,-2.180000066757202,0.4699999988079071,0.4699999988079071,2.365880012512207
48,-2.180000066757202,0.4699999988079071,0.4699999988079071,2.365999937057495
49,-2.190000057220459,0.4699999988079071,0.4699999988079071,2.3661301136016846
50,-2.180000066757202,0.4699999988079071,0.4699999988079071,2.3662500381469727
51,-2.190000057220459,0.4699999988079071,0.4699999988079071,2.366379976272583
52,-2.2100000381469727,0.4699999988079071,0.4699999988079071,2.366499900817871
53,-2.25,0.4699999988079071,0.4699999988079071,2.3666300773620605
54,-2.309999942779541,0.4699999988079071,0.4699999988079071,2.3667500019073486
55,-2.4000000953674316,0.4699999988079071,0.4699999988079071,2.366879940032959
56,-2.5,0.4699999988079071,0.4699999988079071,2.367000102996826
57,-2.630000114440918,0.46000000834465027,0.46000000834465027,2.3671300411224365
58,-2.7699999809265137,0.46000000834465027,0.46000000834465027,2.3672499656677246
59,-2.930000066757202,0.46000000834465027,0.46000000834465027,2.367379903793335
60,-3.0899999141693115,0.46000000834465027,0.46000000834465027,2.367500066757202
61,-3.240000009536743,0.46000000834465027,0.46000000834465027,2.3676300048828125
62,-3.390000104904175,0.46000000834465027,0.46000000834465027,2.3677499294281006
63,-3.5299999713897705,0.46000000834465027,0.46000000834465027,2.36788010597229
64,-3.6600000858306885,0.46000000834465027,0.46000000834465027,2.368000030517578
65,-3.759999990463257,0.46000000834465027,0.46000000834465027,2.3681299686431885
66,-3.8399999141693115,0.46000000834465027,0.46000000834465027,2.3682498931884766
67,-3.9100000858306885,0.44999998807907104,0.44999998807907104,2.368380069732666
68,-3.940000057220459,0.44999998807907104,0.44999998807907104,2.368499994277954
69,-3.9600000381469727,0.44999998807907104,0.44999998807907104,2.3686299324035645
70,-3.9600000381469727,0.44999998807907104,0.44999998807907104,2.3687500953674316
71,-3.950000047683716,0.44999998807907104,0.44999998807907104,2.368880033493042
72,-3.940000057220459,0.44999998807907104,0.44999998807907104,2.36899995803833
73,-3.930000066757202,0.44999998807907104,0.44999998807907104,2.3691298961639404
74,-3.9100000858306885,0.44999998807907104,0.44999998807907104,2.3692500591278076
75,-3.890000104904175,0.44999998807907104,0.44999998807907104,2.369379997253418
